id,code,name,user_type_id/id,chart_template_id/id,reconcile,tag_ids/id
lb_coa_225000,225000,Assets - Vehicles & Handling Equipment,account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_226100,226100,Assets - Decor and Improvements,account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_226210,226210,Assets - Office Equipment,account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_226220,226220,Assets - Computer Equipment,account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_226300,226300,Assets - Furnitures and Accessories,account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_251000,251000,Equity Participations,account.data_account_type_equity,l10n_lb.l10n_lb_chart_template,No,
lb_coa_253100,253100,Ownership Deeds (Shares & Parts),account.data_account_type_equity,l10n_lb.l10n_lb_chart_template,No,
lb_coa_255100,255100,Loans to Partners/Affiliates,account.data_account_type_non_current_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_259000,259000,Deposits and Guarantees,account.data_account_type_non_current_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_281100,281100,Amortization of Formation Expenses,account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_281300,281300,"Amortization of Patents, Licenses, Trade Marks",account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_281900,281900,Amortization of Softwares,account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_282100,282100,Depreciation of Lands,account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_282300,282300,Depreciation of Buildings & Constructions,account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_282400,282400,Depreciation of Machinery and Equipment,account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_282500,282500,Depreciation of Vehicles & Handling Equipment,account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_282610,282610,Depreciation of Decor and Improvements,account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_282621,282621,Depreciation of Office Equipment,account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_282622,282622,Depreciation of Computer Equipment,account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_282630,282630,"Depreciation of Furnitures, Fixtures and Accessories",account.data_account_type_fixed_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_370000,370000,Inventories - Purchased Finished Goods,account.data_account_type_current_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_370050,370050,Inventories - Revaluation,account.data_account_type_current_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_397000,397000,Deval. Provision for Purchased Finished Goods,account.data_account_type_current_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_401100,401100,Suppliers - Cost of Sales,account.data_account_type_payable,l10n_lb.l10n_lb_chart_template,Yes,
lb_coa_403100,403100,Suppliers - Fixed Assets,account.data_account_type_payable,l10n_lb.l10n_lb_chart_template,Yes,
lb_coa_409000,409000,Advances to Suppliers,account.data_account_type_current_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_411100,411100,Customers - Receivables,account.data_account_type_receivable,l10n_lb.l10n_lb_chart_template,Yes,
lb_coa_411500,411500,Doubtful Customers,account.data_account_type_receivable,l10n_lb.l10n_lb_chart_template,Yes,
lb_coa_419000,419000,Advances Received on Sales Orders,account.data_account_type_current_liabilities,l10n_lb.l10n_lb_chart_template,No,
lb_coa_421110,421110,Salaries and Wages due to Personnel,account.data_account_type_payable,l10n_lb.l10n_lb_chart_template,Yes,
lb_coa_421120,421120,Missions due to Personnel,account.data_account_type_payable,l10n_lb.l10n_lb_chart_template,Yes,
lb_coa_428100,428100,Loans to Personnel,account.data_account_type_current_assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_431000,431000,Social Security Payables,account.data_account_type_current_liabilities,l10n_lb.l10n_lb_chart_template,Yes,
lb_coa_438000,438000,Social Security Receivables,account.data_account_type_current_assets,l10n_lb.l10n_lb_chart_template,Yes,
lb_coa_441100,441100,Taxes and Duties - Salaries,account.data_account_type_current_liabilities,l10n_lb.l10n_lb_chart_template,No,
